Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-7.68865880621931E-05,-3.75493524634086E-06,0.59558344879391,0,0,0,12.7039342899442,0.692252467134116,-5.634514086573E-09,0.0100575847822611,0.743299764038895,8.67410156410545E-08,1.15934417655829,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,,Frame One Piece (V5)-1;dif bar-1/Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_right_sus,0.142333238888885,-0.0332393379687545,-0.0457728307908625,0,0,0,1.99138252091391,0.0104329700705996,2.59153674157235E-08,0.00743115678124504,0.0272376570295496,4.62892879995009E-09,0.0168956251145261,0,0,0,0,0,0,package://Assem1/meshes/front_right_sus.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem1/meshes/front_right_sus.STL,,Rocker1-1;MirrorRocker1-2;WHEEL ASEMv2-4/MOUNTPLATE-1;WHEEL ASEMv2-4/INSERT MOUNTPLATE-1;WHEEL ASEMv2-4/TPU INNER-1;Screw in-3,Origin_front_right_sus_joint,Axis_front_right_sus_joint,front_right_sus_joint,revolute,-0.05,-0.31387,0.44008,0,0,0,base_link,0,1,0,10,10,-1.57,1.57,,,,,,,,
front_right_wheel,-9.07576124475895E-07,7.84833675548935E-07,-0.0651994919909083,0,0,0,1.34905188053118,0.00419775864856339,-1.72864770911778E-08,-2.01407121827911E-08,0.00419775484691054,-2.33429746451356E-08,0.00747592275269736,0,0,0,0,0,0,package://Assem1/meshes/front_right_wheel.STL,0.501960784313725,0,0,1,0,0,0,0,0,0,package://Assem1/meshes/front_right_wheel.STL,,WHEEL ASEMv2-4/WHEEL7.5-1;WHEEL ASEMv2-4/WHEEL7.5-2;WHEEL ASEMv2-4/HUB2-2;WHEEL ASEMv2-4/HUB2-1,Origin_front_right_wheel_joint,,front_right_wheel_joint,continuous,0.39302,-0.09583,-0.18584,1.5708,1.3812,0,front_right_sus,0,0,1,,,,,,,,,,,,
front_left_sus,0.148919282802482,0.0284323647117627,-0.11049184370115,0,0,0,1.42403444913832,0.00748902583426413,2.62260571853189E-08,0.00466775557356906,0.0157904283629426,-2.33172257628098E-09,0.00837844652806043,0,0,0,0,0,0,package://Assem1/meshes/front_left_sus.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/front_left_sus.STL,,MirrorRocker1.step-2;MirrorMirrorRocker1-3;WHEEL ASEMv2-1/MOUNTPLATE-1;WHEEL ASEMv2-1/INSERT MOUNTPLATE-1;WHEEL ASEMv2-1/TPU INNER-1,Origin_front_left_sus_joint,Axis_front_left_sus_joint,front_left_sus_joint,revolute,-0.05,0.31487,0.44008,0,0,0,base_link,0,1,0,0,0,-1.57,1.57,,,,,,,,
front_left_wheel,5.38160204399674E-07,-1.07256217252161E-06,0.0651995080102196,0,0,0,1.3490518805646,0.00419774586867766,-1.35675834907201E-08,2.75407258833235E-08,0.00419776762691035,1.38585693251591E-08,0.00747592275281224,0,0,0,0,0,0,package://Assem1/meshes/front_left_wheel.STL,0.501960784313725,0,0,1,0,0,0,0,0,0,package://Assem1/meshes/front_left_wheel.STL,,WHEEL ASEMv2-1/WHEEL7.5-2;WHEEL ASEMv2-1/WHEEL7.5-1;WHEEL ASEMv2-1/HUB2-1;WHEEL ASEMv2-1/HUB2-2,Origin_front_left_wheel_joint,,front_left_wheel_joint,continuous,0.33056,0.095826,-0.28236,1.5708,-0.93679,0,front_left_sus,0,0,1,,,,,,,,,,,,
rear_left_sus,-0.00338980046151843,-0.0222499999732818,-0.0826610515840032,0,0,0,1.90548278572856,0.00285673050955862,5.2445431776198E-08,0.000378498286107579,0.0147823715837697,-2.15176326850431E-09,0.0120709778343263,0,0,0,0,0,0,package://Assem1/meshes/rear_left_sus.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/rear_left_sus.STL,,MirrorBogie1-3;MirrorBogie1-4;WHEEL ASEMv2-6/MOUNTPLATE-1;WHEEL ASEMv2-6/TPU INNER-1;WHEEL ASEMv2-6/INSERT MOUNTPLATE-1;WHEEL ASEMv2-5/INSERT MOUNTPLATE-1;WHEEL ASEMv2-5/MOUNTPLATE-1;WHEEL ASEMv2-5/TPU INNER-1,Origin_rear_left_sus_joint,Axis_rear_left_sus_joint,rear_left_sus_joint,revolute,-0.25968,0.3675,0.37349,0,0,0,base_link,0,1,0,10,10,-1.57,1.57,,,,,,,,
mid_left_wheel,5.37706759340395E-07,-1.07234279481117E-06,0.0651995080475841,0,0,0,1.34905188034585,0.00419774586722093,-1.35699477496823E-08,2.7541119717338E-08,0.00419776762765318,1.38582029334965E-08,0.00747592275210146,0,0,0,0,0,0,package://Assem1/meshes/mid_left_wheel.STL,0.501960784313725,0,0,1,0,0,0,0,0,0,package://Assem1/meshes/mid_left_wheel.STL,,WHEEL ASEMv2-5/WHEEL7.5-2;WHEEL ASEMv2-5/WHEEL7.5-1;WHEEL ASEMv2-5/HUB2-1;WHEEL ASEMv2-5/HUB2-2,Origin_mid_left_wheel_joint,Axis_mid_left_wheel_joint,mid_left_wheel_joint,fixed,0.229332466177956,0.0431974999999455,-0.171404298116053,1.5707963267949,-1.2217472998078,0,rear_left_sus,0,0,0,,,,,,,,,,,,
rear_left_wheel,-9.07120789928051E-07,7.85028340666294E-07,-0.0651994919570328,0,0,0,1.34905188036257,0.00419775863940226,-1.72908144036423E-08,-2.01435567929672E-08,0.00419775484550445,-2.33400703609212E-08,0.00747592274139143,0,0,0,0,0,0,package://Assem1/meshes/rear_left_wheel.STL,0.501960784313725,0,0,1,0,0,0,0,0,0,package://Assem1/meshes/rear_left_wheel.STL,,WHEEL ASEMv2-6/WHEEL7.5-1;WHEEL ASEMv2-6/WHEEL7.5-2;WHEEL ASEMv2-6/HUB2-2;WHEEL ASEMv2-6/HUB2-1,Origin_rear_left_wheel_joint,Axis_rear_left_wheel_joint,rear_left_wheel_joint,fixed,-0.242596866871342,0.0427014999999973,-0.152051220472248,-1.5707963267949,0.270959167228712,0,rear_left_sus,0,0,0,,,,,,,,,,,,
rear_right_sus,0.055862259526879,0.0223575541191811,-0.0691194697402766,0,0,0,1.52083982841864,0.00230237813601394,1.93749743870053E-08,-0.00116373865888979,0.013281252429521,1.02280105149856E-08,0.0111281698246394,0,0,0,0,0,0,package://Assem1/meshes/rear_right_sus.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Assem1/meshes/rear_right_sus.STL,,Bogie1-1;Bogie1-2;WHEEL ASEMv2-7/MOUNTPLATE-1;WHEEL ASEMv2-7/TPU INNER-1;WHEEL ASEMv2-7/INSERT MOUNTPLATE-1;WHEEL ASEMv2-3/TPU INNER-1;Screw in-1,Origin_rear_right_sus_joint,,rear_right_sus_joint,revolute,-0.23489,-0.3665,0.32086,0,0,0,base_link,0,1,0,10,10,-1.57,1.57,,,,,,,,
mid_right_wheel,-9.09282534877764E-07,7.84364867306708E-07,-0.065199491890953,0,0,0,1.34905188071954,0.00419775865036483,-1.72887491037797E-08,-2.01419243944547E-08,0.00419775484577203,-2.33428948075588E-08,0.00747592275337243,0,0,0,0,0,0,package://Assem1/meshes/mid_right_wheel.STL,0.501960784313725,0,0,1,0,0,0,0,0,0,package://Assem1/meshes/mid_right_wheel.STL,,WHEEL ASEMv2-7/WHEEL7.5-1;WHEEL ASEMv2-7/WHEEL7.5-2;WHEEL ASEMv2-7/HUB2-2;WHEEL ASEMv2-7/HUB2-1,Origin_mid_right_wheel_joint,Axis_mid_right_wheel_joint,mid_right_wheel_joint,fixed,0.261033664890981,-0.0427014999490802,-0.117619041186467,-1.5707963267949,0.435367594200088,3.14159265358979,rear_right_sus,0,0,0,,,,,,,,,,,,
rear_right_wheel,5.37653681742523E-07,-1.07261141804593E-06,0.0651995080597733,0,0,0,1.34905188070646,0.00419774586811897,-1.35701868448843E-08,2.75416472095129E-08,0.00419776762797299,1.38580268520483E-08,0.00747592275332751,0,0,0,0,0,0,package://Assem1/meshes/rear_right_wheel.STL,0.501960784313725,0,0,1,0,0,0,0,0,0,package://Assem1/meshes/rear_right_wheel.STL,,WHEEL ASEMv2-3/WHEEL7.5-2;WHEEL ASEMv2-3/HUB2-1;WHEEL ASEMv2-3/WHEEL7.5-1;WHEEL ASEMv2-3/HUB2-2,Origin_rear_right_wheel_joint,Axis_rear_right_wheel_joint,rear_right_wheel_joint,fixed,-0.203870483078154,-0.0426974999999998,-0.201021490358088,-1.57079632679489,0.830365243292088,0,rear_right_sus,0,0,0,,,,,,,,,,,,
